R_wall[m];Z_wall[m];Eion[eV];Eatom[eV];ion_flux[m^-2s^-1];atom_flux[m^-2s^-1];net_heat_flux[W/m^2]
2.141918292331109;-0.673626616212949;11.696118495074119;11.180651186167367;1.879761441858606e+21;1.464908980044641e+21;1.979569378405888e+04
2.148235488975843;-0.676175589359319;10.150202402293761;10.444315002367009;7.012312158856449e+20;1.183519191470950e+21;9.015519954200799e+03
2.155322811813858;-0.679038380919070;9.203756506748967;10.405835339170638;5.643307061028281e+20;9.919086911653214e+20;9.682635673389066e+03
2.156101480507953;-0.679349385300958;9.203756506748967;9.859679281052520;0.000000000000000e+00;1.337438820739306e+21;5.587638298494531e+03
2.156638942652784;-0.679563922283700;9.253942493190989;8.823289939110040;0.000000000000000e+00;1.077530976999606e+21;5.105257485094264e+03
2.157175223801386;-0.679782087435810;9.341109871857332;9.560881246199996;0.000000000000000e+00;9.579441299193628e+20;4.739254754788180e+03
2.157887330949382;-0.680066365178194;9.458247024349783;9.977352897957081;3.340711838727295e+20;8.894652331619906e+20;5.810421267520119e+03
2.158774055845792;-0.680421304444343;8.865870694487640;10.235341319327672;2.429859389430055e+20;1.244707003719238e+21;6.614771732823676e+03
2.159839122925499;-0.680845080727900;7.508420562588126;10.613014049950200;2.194114777702038e+20;1.080680174501001e+21;5.916085909166016e+03
2.161099579876240;-0.681351773833713;7.508420562588126;9.823238890204953;2.065783108867837e+20;1.154431789101480e+21;6.215154241017479e+03
2.162545016127946;-0.681925326106364;7.576724071871500;9.865684074949712;2.737171407591887e+20;1.022098035633900e+21;5.632024032119938e+03
2.164165323022083;-0.682577570485507;7.766388783268735;10.172434203559162;2.170139394765040e+20;1.014844922760075e+21;5.764344951177420e+03
2.165959286577509;-0.683302652020111;7.911623505703299;10.123120533699806;1.996810235512783e+20;1.104800225451454e+21;6.081455931444695e+03
2.166308570325918;-0.683444896561389;7.989862179250480;10.183394074654714;0.000000000000000e+00;1.000723421435561e+21;4.564614211139160e+03
2.167959271672208;-0.684112394941613;8.030563475225467;10.035158476637193;2.724398794880961e+19;1.081402455608357e+21;4.754888688459200e+03
2.170149490592948;-0.684993959962686;7.349622129890982;10.019915286597316;1.729994357773164e+19;9.773455666215129e+20;4.609209968256526e+03
2.172550016212906;-0.685964650647865;5.906336847272037;9.809066561491861;2.323332505196533e+19;9.781040856645838e+20;4.263415409361079e+03
2.175128124060356;-0.687005509118350;5.906336847272037;9.540170376696535;5.641503415706204e+19;1.005283049657661e+21;4.405013502271480e+03
2.177852377409749;-0.688109605764273;5.964572796744232;9.806154749066193;3.059855623754025e+19;9.162037813353375e+20;4.384349360528983e+03
2.180758080753578;-0.689284732751810;6.120184564440802;9.705330431257565;5.324866416168591e+19;1.004946621481153e+21;4.215148016646560e+03
2.183820965892833;-0.690521853603626;6.222053479363925;9.631622600376950;4.112479856291299e+19;8.843400668430016e+20;3.972588973372387e+03
2.187059963402361;-0.691833317034205;6.279253783831361;9.351877501816974;0.000000000000000e+00;9.170872658844689e+20;3.885329630344723e+03
