              s_cell [m];   flux_inc_ion [m-2.s-1];   flux_imp_ion [m-2.s-1];           E_imp_ion [eV];        alpha_V_ion [deg];  flux_inc_atom [m-2.s-1];  flux_imp_atom [m-2.s-1];          E_imp_atom [eV];       alpha_V_atom [deg];  net_energy_flux [W.m-2]
   9.187957968976166e-01;    9.413126093443719e+19;    5.211349979538715e+19;    7.040113282369272e+01;    4.898677880056132e+01;    1.094590735378330e+21;    4.264068335071198e+20;    1.323107587586439e+02;    3.866912750396059e+01;    1.463466238952796e+04
   9.192429178344048e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.584391326254676e+20;    0.000000000000000e+00;    1.284219278940766e+02;    3.067960275820349e+01;    4.797796301899954e+03
   9.196357697352024e-01;    2.603408253343908e+20;    2.331941242750367e+19;    9.624262131551451e+01;    5.489158824486413e+01;    8.158875119308335e+20;    1.485005435174529e+20;    1.194243844651158e+02;    3.812594653110111e+01;    1.040464840759167e+04
   9.203613972157179e-01;    2.966361835968667e+20;    9.900500224023849e+19;    1.161580204098637e+02;    5.605582098826108e+01;    1.376508373037951e+21;    2.968154992714078e+20;    1.231492671649319e+02;    3.922088367401884e+01;    1.386623206178813e+04
   9.210790247203480e-01;    4.271451700007521e+20;    4.856594426353589e+19;    1.022838545715484e+02;    6.515337557604056e+01;    1.211153605421181e+21;    4.384562187786887e+20;    1.795068686393243e+02;    4.124105380329363e+01;    1.723868035366129e+04
   9.217504410034105e-01;    4.634374695902361e+20;    1.281727682564289e+20;    1.000608733010013e+02;    5.058629996474638e+01;    1.000517487272232e+21;    3.407361660689748e+20;    1.083769417805469e+02;    3.976866481917646e+01;    9.678065622943375e+03
   9.223903096192790e-01;    3.648087037815766e+20;    8.062823786609708e+19;    8.355362603689645e+01;    5.663794622050493e+01;    1.101706032667540e+21;    1.450410353566823e+20;    1.333580524748227e+02;    4.125394607964579e+01;    1.541305887521689e+04
   9.228045426529973e-01;    1.532137918237576e+20;    1.532137918237576e+20;    8.016865288291335e+01;    4.970146495899505e+01;    6.774337899386271e+20;    2.394508353834962e+20;    1.098449660842862e+02;    4.922409422061390e+01;    1.214119121935240e+04
   9.231026595640766e-01;    4.958152178551589e+20;    3.079049910346083e+20;    8.625440375598706e+01;    6.425235092538595e+01;    1.690861439608498e+21;    1.964359886917154e+20;    1.701939644167100e+02;    4.092318468905820e+01;    2.847992669930492e+04
   9.235848090687091e-01;    4.002858883934011e+20;    6.048575924165516e+19;    1.298501986350449e+02;    4.868485404960926e+01;    1.689962060179477e+21;    2.869951617421358e+20;    1.412803017496206e+02;    4.024962903819762e+01;    2.521046052319532e+04
   9.241393287589139e-01;    6.051012283104402e+20;    3.203111645933918e+20;    9.768046976140033e+01;    5.491643280032096e+01;    7.916437856173852e+20;    3.088250125576118e+20;    1.643581466065236e+02;    3.797170043977828e+01;    2.257354433139583e+04
   9.246663865533704e-01;    4.657887001853592e+20;    1.608874467799731e+20;    1.278780733812072e+02;    6.594028254183215e+01;    1.034069560848523e+21;    1.790195969246242e+20;    1.207256265154663e+02;    3.083320766566615e+01;    1.203269817123863e+04
   9.251652239443857e-01;    7.325688506301997e+20;    2.095732887354344e+20;    1.078455850627550e+02;    5.917723304747473e+01;    1.384220498727414e+21;    1.071708445552248e+20;    1.836694863582923e+02;    3.645472577336543e+01;    2.026934346039942e+04
   9.256364900953667e-01;    8.309594565610475e+20;    1.861451422088926e+20;    8.128927562386836e+01;    5.571013926586936e+01;    8.878571141815316e+20;    1.426362821196543e+20;    1.575465714139268e+02;    4.312332703760705e+01;    1.503026099202810e+04
   9.260709497353070e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    1.029762032046973e+21;    2.510711609903989e+20;    1.760470513318948e+02;    3.608668943581576e+01;    1.213445935414967e+04
   9.279207129254347e-01;    1.027499404832774e+21;    3.508921604995475e+20;    1.358529140654468e+02;    6.079042214456844e+01;    9.504312743321812e+20;    2.588351080273779e+20;    1.388180156684678e+02;    3.874743197013763e+01;    2.452376163744570e+04
   9.308427392799105e-01;    1.116845611990527e+21;    3.754686284964481e+20;    1.429502057577422e+02;    5.976514622838989e+01;    1.253097912045651e+21;    1.980371317599493e+20;    1.045368162078886e+02;    3.566105334697448e+01;    3.434844629546713e+04
   9.333846452857884e-01;    2.277296344486388e+21;    6.487854939821501e+20;    1.567716655537176e+02;    6.102656416460249e+01;    1.330189450281034e+21;    2.318334409761564e+20;    1.159631846963691e+02;    3.808300508888264e+01;    5.246375312659126e+04
   9.359472666292108e-01;    3.652253448724780e+21;    1.289474164170276e+21;    1.909136065891387e+02;    6.248460584813163e+01;    1.602552352721641e+21;    3.277412246437948e+20;    1.292611043919483e+02;    3.958109744480894e+01;    1.030212154105127e+05
   9.385313722789543e-01;    5.328615850757600e+21;    1.871300859611141e+21;    2.147852945297535e+02;    6.238967777319794e+01;    1.924365646925537e+21;    4.754508206450737e+20;    1.071938606836820e+02;    3.810891475939288e+01;    1.810192424769366e+05
   9.408393574821314e-01;    7.882153991381862e+21;    2.644785557236115e+21;    2.584186753175288e+02;    6.435889053505423e+01;    1.821485677456464e+21;    3.338348580494631e+20;    8.574307995690408e+01;    3.943272983854264e+01;    2.862210498971363e+05
   9.443020385455780e-01;    9.649424585218155e+21;    3.743504907102665e+21;    3.150315874775043e+02;    6.628228906951297e+01;    2.371225914301738e+21;    4.532899283169218e+20;    9.407096799368327e+01;    3.862550352339944e+01;    4.704470378566844e+05
   9.499606287321007e-01;    1.317225367664701e+22;    5.091847200481118e+21;    3.052762282212674e+02;    6.609448933843902e+01;    2.658606446646033e+21;    5.342366174252533e+20;    7.900208672277145e+01;    3.808485909768854e+01;    6.038094971251802e+05
   9.560293579998778e-01;    1.470258705541821e+22;    5.881155574911592e+21;    2.888579599529846e+02;    6.525102000817574e+01;    3.180252392810408e+21;    6.092078160675802e+20;    8.090516392121077e+01;    3.789607339163577e+01;    6.421525662804650e+05
   9.615117978674095e-01;    1.600990920071713e+22;    6.011352013382588e+21;    2.740836204858908e+02;    6.482395137662949e+01;    3.209670129262549e+21;    5.940955384291556e+20;    7.895412176073235e+01;    3.782881285201117e+01;    6.238854005395401e+05
   9.666088649687297e-01;    1.558574574875706e+22;    5.712123541746021e+21;    2.618408168026474e+02;    6.417842441484073e+01;    3.286637415579492e+21;    5.717044682854981e+20;    7.238805563209517e+01;    3.925734508114373e+01;    5.795719835031694e+05
   9.715809137558551e-01;    1.435813863949439e+22;    5.569362260297873e+21;    2.455155395622945e+02;    6.387458580495102e+01;    3.366719080001067e+21;    5.703961056562900e+20;    7.300156292615388e+01;    3.843124208748034e+01;    5.324343706482353e+05
   9.765926649538395e-01;    1.412528253792289e+22;    5.213770442895116e+21;    2.294634991952093e+02;    6.369160652127989e+01;    3.367269885299428e+21;    6.636934282809893e+20;    6.833560550529255e+01;    3.886770553895489e+01;    4.832786825157308e+05
   9.817456482699961e-01;    1.352246550550103e+22;    4.826957530205172e+21;    2.176293064399285e+02;    6.209707856783017e+01;    3.254011048973918e+21;    6.503381410757838e+20;    7.415410784617853e+01;    3.961046344882643e+01;    4.069695431136623e+05
   9.868882852785369e-01;    1.251887745780734e+22;    4.477887748578929e+21;    2.055424851609497e+02;    6.213900793360745e+01;    3.161611828661046e+21;    5.717511919679208e+20;    7.211017972455322e+01;    3.924372726576232e+01;    3.693325135127478e+05
   9.919125890961242e-01;    1.108287954492005e+22;    3.900230479259954e+21;    1.963979195190007e+02;    6.162838037819839e+01;    3.245944091425438e+21;    7.024490771187132e+20;    6.975030231853924e+01;    3.953528709614645e+01;    3.238702227625002e+05
   9.970023046767148e-01;    1.063992682270787e+22;    3.744720575475659e+21;    1.793867979613569e+02;    6.128633226033870e+01;    3.126732743885800e+21;    5.817780223051490e+20;    6.517139206525977e+01;    3.945210953728819e+01;    2.797302894356705e+05
   1.001342626329285e+00;    9.719990040052650e+21;    3.277126587592524e+21;    1.724725863244325e+02;    6.030585775455021e+01;    2.848053394307013e+21;    5.444657971316146e+20;    7.051034197314576e+01;    4.047521044668525e+01;    2.340214128703089e+05
   1.003891307039033e+00;    9.732900652764168e+21;    3.183149638431937e+21;    1.697197583654577e+02;    5.999606779301760e+01;    3.248318051936184e+21;    7.849552433870453e+20;    6.043369172403063e+01;    4.028516502346717e+01;    2.377627026261308e+05
   1.005675950428530e+00;    8.967986891921687e+21;    3.298078436736052e+21;    1.625419455901861e+02;    5.941512355939704e+01;    3.190795667150410e+21;    7.296079970561682e+20;    5.874356622651140e+01;    4.185806283976283e+01;    2.099679450619116e+05
   1.008203863942732e+00;    9.420527416411465e+21;    3.488991120628931e+21;    1.569589150875451e+02;    5.972155524912652e+01;    2.890724966925366e+21;    5.495459976897291e+20;    6.124981802432689e+01;    4.197380562596240e+01;    2.087771995649249e+05
   1.009954784760182e+00;    8.252136886948656e+21;    3.236484363377099e+21;    1.645399702768787e+02;    5.886669190063271e+01;    3.230090339970100e+21;    7.740886170455769e+20;    4.298378297733831e+01;    4.239810095237126e+01;    1.640261747173734e+05
   1.011876056087746e+00;    8.210732936484622e+21;    2.716660660356236e+21;    1.532544382593753e+02;    6.013867586656856e+01;    2.799202719180540e+21;    5.460588974762780e+20;    6.447874857570557e+01;    4.249853302594705e+01;    1.617396288350900e+05
   1.014135789749443e+00;    7.853584007815391e+21;    2.641084714098525e+21;    1.504065639948382e+02;    5.809864787271027e+01;    2.757095660040397e+21;    5.349687865721275e+20;    4.712008317672083e+01;    4.200426645135463e+01;    1.646793102051456e+05
   1.015614827647641e+00;    5.899706496819751e+21;    1.855757449549782e+21;    1.472194472948996e+02;    5.873610095235129e+01;    2.629672088408257e+21;    6.270567871262048e+20;    7.191292503334562e+01;    4.330662946141160e+01;    1.208266231338693e+05
   1.017909566817318e+00;    5.394799928572497e+21;    1.767251334591347e+21;    1.442971133427852e+02;    5.838108036585850e+01;    3.004094532914381e+21;    6.079527824521287e+20;    7.235728623948422e+01;    4.248885593747280e+01;    1.309641528274172e+05
   1.019566063670486e+00;    5.854726269406987e+21;    2.159345493103140e+21;    1.476177847068595e+02;    6.105037237317958e+01;    2.262256868318705e+21;    6.732205685156028e+20;    8.515172370266772e+01;    5.034332317465354e+01;    1.350712191449494e+05
   1.020783423157349e+00;    2.742202589470704e+21;    7.690041153427465e+20;    1.138474047271308e+02;    5.552294271137834e+01;    2.341259051314895e+21;    4.986121119510461e+20;    8.239151039579785e+01;    4.336019428342966e+01;    5.135289433593505e+04
